챔피언명,직업군,포지션,티어,종합_점수,변화량,승률,포지션_사용률,픽률,밴률,KDA
그웬,전사,탑,A,53.66,2.4,49.92%,89.55%,4.22%,2.41%,1.7
헤카림,전사,정글,S,62.04,4.1,50.31%,99.16%,6.21%,11.30%,2.65
하이머딩거,마법사,미드,B,44.22,0.5,52.83%,22.49%,0.78%,1.53%,2.01
하이머딩거,마법사,서포터,C,39.84,-0.65,50.81%,48.93%,1.57%,1.53%,1.92
하이머딩거,마법사,탑,D,33.45,-0.59,50.64%,19.31%,0.66%,1.53%,1.73
일라오이,전사,탑,S,63.63,3.5,51.46%,94.01%,4.89%,12.19%,1.45
이렐리아,전사,탑,A,54.9,0.85,49.67%,51.43%,4.14%,11.20%,1.66
이렐리아,전사,미드,A,49.15,1.54,50.01%,46.91%,3.79%,11.20%,1.82
아이번,서포터,정글,A,51.46,-8.06,51.35%,74.38%,2.99%,5.29%,3.44
아이번,서포터,서포터,D,33.65,-4.87,48.47%,11.09%,0.43%,5.29%,2.5
잔나,서포터,서포터,S,61.02,2.58,52.40%,98.81%,4.92%,1.69%,3.2
자르반 4세,탱커,정글,S,64.68,1.7,51.45%,92.12%,6.06%,2.47%,3.27
잭스,전사,탑,최상위,92.58,-0.44,50.78%,85.77%,8.51%,17.43%,1.71
잭스,전사,정글,D,32.93,4.29,50.57%,11.25%,1.10%,17.43%,2.14
